时间,播放量,涨粉,取关,点赞,弹幕,评论,分享,收藏,投币
累计,343,2,0,27,0,0,0,23,1
2026/03/06,229,1,0,23,0,0,0,20,1
2026/03/07,26,1,0,3,0,0,0,3,0
2026/03/08,15,0,0,0,0,0,0,0,0
2026/03/09,8,0,0,0,0,0,0,0,0
2026/03/10,10,0,0,0,0,0,0,0,0
2026/03/11,17,0,0,0,0,0,0,0,0
2026/03/12,8,0,0,0,0,0,0,0,0
2026/03/13,3,0,0,0,0,0,0,0,0
2026/03/14,7,0,0,0,0,0,0,0,0
2026/03/15,1,0,0,0,0,0,0,0,0
2026/03/16,2,0,0,0,0,0,0,0,0
2026/03/17,1,0,0,0,0,0,0,0,0
2026/03/18,5,0,0,0,0,0,0,0,0
2026/03/19,2,0,0,0,0,0,0,0,0
2026/03/20,6,0,0,1,0,0,0,0,0
2026/03/21,2,0,0,0,0,0,0,0,0
2026/03/22,1,0,0,0,0,0,0,0,0